user_id,movie_id,rating,unix_timestamp,user_emb_id,movie_emb_id
196,242,3,881250949,195,241
186,302,3,891717742,185,301
22,377,1,878887116,21,376
244,51,2,880606923,243,50
166,346,1,886397596,165,345
298,474,4,884182806,297,473
115,265,2,881171488,114,264
253,465,5,891628467,252,464
305,451,3,886324817,304,450
6,86,3,883603013,5,85
62,257,2,879372434,61,256
286,1014,5,879781125,285,1013
200,222,5,876042340,199,221
210,40,3,891035994,209,39
224,29,3,888104457,223,28
303,785,3,879485318,302,784
122,387,5,879270459,121,386
194,274,2,879539794,193,273
291,1042,4,874834944,290,1041
234,1184,2,892079237,233,1183
119,392,4,886176814,118,391
167,486,4,892738452,166,485
299,144,4,877881320,298,143
291,118,2,874833878,290,117
308,1,4,887736532,307,0
95,546,2,879196566,94,545
38,95,5,892430094,37,94
102,768,2,883748450,101,767
63,277,4,875747401,62,276
160,234,5,876861185,159,233
50,246,3,877052329,49,245
301,98,4,882075827,300,97
225,193,4,879539727,224,192
290,88,4,880731963,289,87
97,194,3,884238860,96,193
157,274,4,886890835,156,273
181,1081,1,878962623,180,1080
278,603,5,891295330,277,602
276,796,1,874791932,275,795
7,32,4,891350932,6,31
10,16,4,877888877,9,15
284,304,4,885329322,283,303
201,979,2,884114233,200,978
276,564,3,874791805,275,563
287,327,5,875333916,286,326
246,201,5,884921594,245,200
242,1137,5,879741196,241,1136
249,241,5,879641194,248,240
99,4,5,886519097,98,3
178,332,3,882823437,177,331
251,100,4,886271884,250,99
81,432,2,876535131,80,431
260,322,4,890618898,259,321
25,181,5,885853415,24,180
59,196,5,888205088,58,195
72,679,2,880037164,71,678
87,384,4,879877127,86,383
290,143,5,880474293,289,142
42,423,5,881107687,41,422
292,515,4,881103977,291,514
115,20,3,881171009,114,19
20,288,1,879667584,19,287
201,219,4,884112673,200,218
13,526,3,882141053,12,525
246,919,4,884920949,245,918
138,26,5,879024232,137,25
167,232,1,892738341,166,231
60,427,5,883326620,59,426
57,304,5,883698581,56,303
223,274,4,891550094,222,273
189,512,4,893277702,188,511
243,15,3,879987440,242,14
92,1049,1,890251826,91,1048
246,416,3,884923047,245,415
194,165,4,879546723,193,164
241,690,2,887249482,240,689
178,248,4,882823954,177,247
254,1444,3,886475558,253,1443
293,5,3,888906576,292,4
127,229,5,884364867,126,228
225,237,5,879539643,224,236
299,229,3,878192429,298,228
225,480,5,879540748,224,479
276,54,3,874791025,275,53
291,144,5,874835091,290,143
222,366,4,878183381,221,365
267,518,5,878971773,266,517
42,403,3,881108684,41,402
11,111,4,891903862,10,110
95,625,4,888954412,94,624
8,338,4,879361873,7,337
162,25,4,877635573,161,24
87,1016,4,879876194,86,1015
279,154,5,875296291,278,153
145,275,2,885557505,144,274
119,1153,5,874781198,118,1152
62,498,4,879373848,61,497
62,382,3,879375537,61,381
28,209,4,881961214,27,208
135,23,4,879857765,134,22
32,294,3,883709863,31,293
90,382,5,891383835,89,381
286,208,4,877531942,285,207
293,685,3,888905170,292,684
216,144,4,880234639,215,143
166,328,5,886397722,165,327
250,496,4,878090499,249,495
271,132,5,885848672,270,131
160,174,5,876860807,159,173
265,118,4,875320714,264,117
198,498,3,884207492,197,497
42,96,5,881107178,41,95
168,151,5,884288058,167,150
110,307,4,886987260,109,306
58,144,4,884304936,57,143
90,648,4,891384754,89,647
271,346,4,885844430,270,345
62,21,3,879373460,61,20
279,832,3,881375854,278,831
237,514,4,879376641,236,513
94,789,4,891720887,93,788
128,485,3,879966895,127,484
298,317,4,884182806,297,316
44,195,5,878347874,43,194
264,200,5,886122352,263,199
194,385,2,879524643,193,384
72,195,5,880037702,71,194
222,750,5,883815120,221,749
250,264,3,878089182,249,263
41,265,3,890687042,40,264
224,245,3,888082216,223,244
82,135,3,878769629,81,134
262,1147,4,879791710,261,1146
293,471,3,888904884,292,470
216,658,3,880245029,215,657
250,140,3,878092059,249,139
59,23,5,888205300,58,22
